cmpiot.;cmpiot;mpio;depto;UAF_2012;
| 73275;73275;Flandes;Tolima;7.12;
| 73283;73283;Fresno;Tolima;9.27;
| 73319;73319;Guamo;Tolima;10.78;
| 73349;73349;Honda;Tolima;13.22;
| 73352;73352;Icononzo;Tolima;16.12;
| 73408;73408;Lérida;Tolima;19.61;
| 73411;73411;Líbano;Tolima;5.76;
| 73443;73443;San Sebastián de Mariquita;Tolima;9.14;
| 73449;73449;Melgar;Tolima;21.28;
| 73504;73504;Ortega;Tolima;18.03;
| 73520;73520;Palocabildo;Tolima;8.15;
| 73547;73547;Piedras;Tolima;36.94;
| 73585;73585;Purificación;Tolima;9.26;
| 73616;73616;Rioblanco;Tolima;9.46;
| 73622;73622;Roncesvalles;Tolima;24.92;
| 73624;73624;Rovira;Tolima;18.17;
| 73671;73671;Saldaña;Tolima;10.01;
| 73675;73675;San Antonio;Tolima;20.89;
| 73678;73678;San Luis;Tolima;9.46;
| 73686;73686;Santa Isabel;Tolima;14.32;
| 73770;73770;Suárez;Tolima;27.29;
| 73854;73854;Valle de San Juan;Tolima;22.00;
| 73861;73861;Venadillo;Tolima;19.61;
| 73870;73870;Villahermosa;Tolima;18.12;
| 76001;76001;Cali;Valle del Cauca;13.43;
| 76020;76020;Alcalá;Valle del Cauca;13.33;
| 76036;76036;Andalucía;Valle del Cauca;15.02;
| 76041;76041;Ansermanuevo;Valle del Cauca;13.86;
| 76054;76054;Argelia;Valle del Cauca;23.09;
| 76100;76100;Bolívar;Valle del Cauca;14.15;
| 76109;76109;Buenaventura;Valle del Cauca;24.04;
| 76111;76111;Buga;Valle del Cauca;35.93;
| 76113;76113;Bugalagrande;Valle del Cauca;12.81;
| 76122;76122;Caicedonia;Valle del Cauca;13.49;
| 76126;76126;Calima Darién;Valle del Cauca;17.31;
| 76130;76130;Candelaria;Valle del Cauca;8.85;
| 76147;76147;Cartago;Valle del Cauca;13.92;
| 76233;76233;Dagua;Valle del Cauca;14.37;
| 76243;76243;El Águila;Valle del Cauca;20.69;
| 76246;76246;El Cairo;Valle del Cauca;23.73;
| 76248;76248;El Cerrito;Valle del Cauca;11.03;
| 76250;76250;El Dovio;Valle del Cauca;14.43;
| 76275;76275;Florida;Valle del Cauca;16.77;
| 76306;76306;Ginebra;Valle del Cauca;17.11;
| 76318;76318;Guacarí;Valle del Cauca;15.02;
| 76364;76364;Jamundí;Valle del Cauca;18.18;
| 76377;76377;La Cumbre;Valle del Cauca;17.10;
| 76400;76400;La Unión;Valle del Cauca;15.88;
| 76403;76403;La Victoria;Valle del Cauca;22.91;
| 76497;76497;Obando;Valle del Cauca;11.45;
| 76520;76520;Palmira;Valle del Cauca;12.37;
| 76563;76563;Pradera;Valle del Cauca;9.35;
| 76606;76606;Restrepo;Valle del Cauca;18.75;
| 76616;76616;Riofrío;Valle del Cauca;22.77;
| 76622;76622;Roldanillo;Valle del Cauca;14.21;
| 76670;76670;San Pedro;Valle del Cauca;17.51;
| 76736;76736;Sevilla;Valle del Cauca;14.27;
| 76823;76823;Toro;Valle del Cauca;20.75;
| 76828;76828;Trujillo;Valle del Cauca;16.40;
| 76834;76834;Tuluá;Valle del Cauca;10.63;
| 76845;76845;Ulloa;Valle del Cauca;14.14;
| 76863;76863;Versalles;Valle del Cauca;21.77;
| 76869;76869;Vijes;Valle del Cauca;11.86;
| 76890;76890;Yotoco;Valle del Cauca;20.94;
| 76892;76892;Yumbo;Valle del Cauca;12.19;
| 76895;76895;Zarzal;Valle del Cauca;9.95;
| 05051;NA;ARBOLETES;ANTIOQUIA;48.00;
| 05055;NA;ARGELIA;ANTIOQUIA;31.00;
| 05093;NA;BETULIA;ANTIOQUIA;15.00;
| 05234;NA;DABEIBA;ANTIOQUIA;28.00;
| 05310;NA;GÓMEZ PLATA;ANTIOQUIA;25.00;
| 05353;NA;HISPANIA;ANTIOQUIA;15.00;
