;;;;;;COLOMBIA. GINIS MUNICIPALES.  2000-2009.;;;;;;;
;;;;;; Catastro Jurisdicción IGAC.;;;;;;;
;;;;;;Fuente: Atlas de la distribución de la Propiedad Rural en Colombia. CEDE) UNINADES)-IGAC-Universidad de Antioquia. ;;;;;;;
;;;;;;;;;;;;;
CODIGO PROBLEM;CMPIOT;DEP AND MUN NO SPACE BTW WORD;Dep and mun no space;DEP NO SPACE;Mun no space;DEPARTAMENTO;MUNICIPIO;AÑO;GINI;AVALÚO;TIERRAS CALIDAD;PROPIETARIOS SIN REPETICION;PROPIETARIOS CON REPETICIÓN
;81001;ARAUCAARAUCA;ARAUCAARAUCA;ARAUCA;ARAUCA;ARAUCA            ;ARAUCA                      ;2009;0.771;0.659;0.771;0.802;0.821
;81065;ARAUCAARAUQUITA;ARAUCAARAUQUITA;ARAUCA;ARAUQUITA;ARAUCA            ;ARAUQUITA                   ;2000;0.447;0.516;0.447;0.516;0.545
;81065;ARAUCAARAUQUITA;ARAUCAARAUQUITA;ARAUCA;ARAUQUITA;ARAUCA            ;ARAUQUITA                   ;2001;0.520;0.718;0.520;0.547;0.562
;81065;ARAUCAARAUQUITA;ARAUCAARAUQUITA;ARAUCA;ARAUQUITA;ARAUCA            ;ARAUQUITA                   ;2002;0.515;0.714;0.515;0.547;0.563
;81065;ARAUCAARAUQUITA;ARAUCAARAUQUITA;ARAUCA;ARAUQUITA;ARAUCA            ;ARAUQUITA                   ;2003;0.550;0.703;0.550;0.594;0.585
;81065;ARAUCAARAUQUITA;ARAUCAARAUQUITA;ARAUCA;ARAUQUITA;ARAUCA            ;ARAUQUITA                   ;2004;0.544;0.693;0.544;0.588;0.583
;81065;ARAUCAARAUQUITA;ARAUCAARAUQUITA;ARAUCA;ARAUQUITA;ARAUCA            ;ARAUQUITA                   ;2005;0.545;0.693;0.545;0.588;0.583
;81065;ARAUCAARAUQUITA;ARAUCAARAUQUITA;ARAUCA;ARAUQUITA;ARAUCA            ;ARAUQUITA                   ;2006;0.543;0.693;0.543;0.586;0.581
;81065;ARAUCAARAUQUITA;ARAUCAARAUQUITA;ARAUCA;ARAUQUITA;ARAUCA            ;ARAUQUITA                   ;2007;0.542;0.694;0.542;0.586;0.579
;81065;ARAUCAARAUQUITA;ARAUCAARAUQUITA;ARAUCA;ARAUQUITA;ARAUCA            ;ARAUQUITA                   ;2008;0.539;0.696;0.539;0.583;0.576
;81065;ARAUCAARAUQUITA;ARAUCAARAUQUITA;ARAUCA;ARAUQUITA;ARAUCA            ;ARAUQUITA                   ;2009;0.535;0.694;0.535;0.595;0.570
;81220;ARAUCACRAVONORTE;ARAUCACRAVO NORTE;ARAUCA;CRAVO NORTE;ARAUCA            ;CRAVO NORTE                 ;2000;0.333;0.387;0.333;0.333;0.284
;81220;ARAUCACRAVONORTE;ARAUCACRAVO NORTE;ARAUCA;CRAVO NORTE;ARAUCA            ;CRAVO NORTE                 ;2001;0.629;0.599;0.629;0.623;0.650
;81220;ARAUCACRAVONORTE;ARAUCACRAVO NORTE;ARAUCA;CRAVO NORTE;ARAUCA            ;CRAVO NORTE                 ;2002;0.619;0.592;0.619;0.619;0.646
;81220;ARAUCACRAVONORTE;ARAUCACRAVO NORTE;ARAUCA;CRAVO NORTE;ARAUCA            ;CRAVO NORTE                 ;2003;0.619;0.592;0.619;0.620;0.648
;81220;ARAUCACRAVONORTE;ARAUCACRAVO NORTE;ARAUCA;CRAVO NORTE;ARAUCA            ;CRAVO NORTE                 ;2004;0.619;0.592;0.619;0.620;0.648
;81220;ARAUCACRAVONORTE;ARAUCACRAVO NORTE;ARAUCA;CRAVO NORTE;ARAUCA            ;CRAVO NORTE                 ;2005;0.619;0.592;0.619;0.620;0.648
;81220;ARAUCACRAVONORTE;ARAUCACRAVO NORTE;ARAUCA;CRAVO NORTE;ARAUCA            ;CRAVO NORTE                 ;2006;0.616;0.591;0.616;0.619;0.645
;81220;ARAUCACRAVONORTE;ARAUCACRAVO NORTE;ARAUCA;CRAVO NORTE;ARAUCA            ;CRAVO NORTE                 ;2007;0.605;0.584;0.605;0.607;0.637
;81220;ARAUCACRAVONORTE;ARAUCACRAVO NORTE;ARAUCA;CRAVO NORTE;ARAUCA            ;CRAVO NORTE                 ;2008;0.581;0.576;0.581;0.579;0.610
;81220;ARAUCACRAVONORTE;ARAUCACRAVO NORTE;ARAUCA;CRAVO NORTE;ARAUCA            ;CRAVO NORTE                 ;2009;0.570;0.570;0.570;0.571;0.604
;81300;ARAUCAFORTUL;ARAUCAFORTUL;ARAUCA;FORTUL;ARAUCA            ;FORTUL                      ;2000;0.444;0.631;0.444;0.439;0.457
;81300;ARAUCAFORTUL;ARAUCAFORTUL;ARAUCA;FORTUL;ARAUCA            ;FORTUL                      ;2001;0.408;0.441;0.408;0.450;0.470
;81300;ARAUCAFORTUL;ARAUCAFORTUL;ARAUCA;FORTUL;ARAUCA            ;FORTUL                      ;2002;0.418;0.453;0.418;0.447;0.466
;81300;ARAUCAFORTUL;ARAUCAFORTUL;ARAUCA;FORTUL;ARAUCA            ;FORTUL                      ;2003;0.419;0.456;0.419;0.443;0.461
;81300;ARAUCAFORTUL;ARAUCAFORTUL;ARAUCA;FORTUL;ARAUCA            ;FORTUL                      ;2004;0.424;0.459;0.424;0.439;0.458
;81300;ARAUCAFORTUL;ARAUCAFORTUL;ARAUCA;FORTUL;ARAUCA            ;FORTUL                      ;2005;0.426;0.460;0.426;0.444;0.464
;81300;ARAUCAFORTUL;ARAUCAFORTUL;ARAUCA;FORTUL;ARAUCA            ;FORTUL                      ;2006;0.424;0.458;0.424;0.443;0.464
;81300;ARAUCAFORTUL;ARAUCAFORTUL;ARAUCA;FORTUL;ARAUCA            ;FORTUL                      ;2007;0.422;0.459;0.422;0.442;0.464
;81300;ARAUCAFORTUL;ARAUCAFORTUL;ARAUCA;FORTUL;ARAUCA            ;FORTUL                      ;2008;0.428;0.468;0.428;0.446;0.466
;81300;ARAUCAFORTUL;ARAUCAFORTUL;ARAUCA;FORTUL;ARAUCA            ;FORTUL                      ;2009;0.431;0.472;0.431;0.455;0.478
;81591;ARAUCAPUERTORONDON;ARAUCAPUERTO RONDON;ARAUCA;PUERTO RONDON;ARAUCA            ;PUERTO RONDON               ;2000;0.000;0.000;0.000;0.000;0.000
;81591;ARAUCAPUERTORONDON;ARAUCAPUERTO RONDON;ARAUCA;PUERTO RONDON;ARAUCA            ;PUERTO RONDON               ;2001;0.669;0.648;0.669;0.674;0.681
;81591;ARAUCAPUERTORONDON;ARAUCAPUERTO RONDON;ARAUCA;PUERTO RONDON;ARAUCA            ;PUERTO RONDON               ;2002;0.666;0.644;0.666;0.670;0.679
;81591;ARAUCAPUERTORONDON;ARAUCAPUERTO RONDON;ARAUCA;PUERTO RONDON;ARAUCA            ;PUERTO RONDON               ;2003;0.670;0.643;0.670;0.671;0.676
;81591;ARAUCAPUERTORONDON;ARAUCAPUERTO RONDON;ARAUCA;PUERTO RONDON;ARAUCA            ;PUERTO RONDON               ;2004;0.667;0.641;0.667;0.668;0.674
;81591;ARAUCAPUERTORONDON;ARAUCAPUERTO RONDON;ARAUCA;PUERTO RONDON;ARAUCA            ;PUERTO RONDON               ;2005;0.664;0.639;0.664;0.667;0.673
;81591;ARAUCAPUERTORONDON;ARAUCAPUERTO RONDON;ARAUCA;PUERTO RONDON;ARAUCA            ;PUERTO RONDON               ;2006;0.660;0.637;0.660;0.659;0.666
;81591;ARAUCAPUERTORONDON;ARAUCAPUERTO RONDON;ARAUCA;PUERTO RONDON;ARAUCA            ;PUERTO RONDON               ;2007;0.656;0.634;0.656;0.660;0.669
;81591;ARAUCAPUERTORONDON;ARAUCAPUERTO RONDON;ARAUCA;PUERTO RONDON;ARAUCA            ;PUERTO RONDON               ;2008;0.648;0.630;0.648;0.640;0.652
